code,name,population,area,type,level,lat,lon
3,Niederösterreich,1625485,,Bundesland,3,48.33,15.75
301,Krems an der Donau,23734,51.6149,Bezirk,5,48.4,15.58
302,Sankt Pölten,50474,108.4756,Bezirk,5,48.2,15.62
303,Waidhofen an der Ybbs,11824,131.5691,Bezirk,5,47.97,14.77
304,Wiener Neustadt,39324,60.9731,Bezirk,5,47.8,16.25
305,Amstetten,110211,1187.7887,Bezirk,5,48.0,14.77
306,Baden,130670,753.3848,Bezirk,5,47.95,16.2
307,Bruck an der Leitha,41028,494.9483,Bezirk,5,48.05,16.7
308,Gänserndorf,67717,1271.2144,Bezirk,5,48.34,16.72
309,Gmünd,39261,786.2447,Bezirk,5,48.75,15.08
310,Hollabrunn,49987,1010.7235,Bezirk,5,48.58,16.08
311,Horn,32049,783.9887,Bezirk,5,48.75,15.7
312,Korneuburg,70651,626.5041,Bezirk,5,48.42,16.3
313,Krems-Land,54661,923.9474,Bezirk,5,48.5,15.5
314,Lilienfeld,27171,931.5543,Bezirk,5,47.92,15.6
315,Melk,75808,1013.619,Bezirk,5,48.17,15.27
316,Mistelbach,73026,1291.5113,Bezirk,5,48.58,16.5
317,Mödling,109762,277.0162,Bezirk,5,48.07,16.25
318,Neunkirchen,86408,1146.3582,Bezirk,5,47.65,16.03
319,Sankt Pölten-Land,94841,1121.6102,Bezirk,5,48.2,15.7
320,Scheibbs,41382,1023.5123,Bezirk,5,47.9,15.15
321,Tulln,66141,658.0312,Bezirk,5,48.3,16.0
322,Waidhofen an der Thaya,27629,669.1436,Bezirk,5,48.83,15.4
323,Wiener Neustadt Land,72831,969.7194,Bezirk,5,47.8,16.25
324,Wien-Umgebung,105476,484.4692,Bezirk,5,48.13,16.5
325,Zwettl,44921,1399.7581,Bezirk,5,48.6,15.17
30101,Krems an der Donau,23734,51.6149,Gemeinde,6,48.41,15.61
30201,Sankt Pölten,50474,108.4756,Gemeinde,6,48.2,15.62
30301,Waidhofen an der Ybbs,11824,131.5691,Gemeinde,6,47.96,14.77
30401,Wiener Neustadt,39324,60.9731,Gemeinde,6,47.82,16.25
30501,Allhartsberg,1893,21.3445,Gemeinde,6,48.03,14.79
30502,Amstetten,22829,52.1667,Gemeinde,6,48.0,14.77
30503,Ardagger,3285,47.1979,Gemeinde,6,48.17,14.82
30504,Aschbach-Markt,3620,37.2107,Gemeinde,6,48.07,14.76
30506,Behamberg,3155,20.3318,Gemeinde,6,48.03,14.5
30507,Biberbach,2122,28.4051,Gemeinde,6,48.03,14.71
30508,Ennsdorf,2451,7.6928,Gemeinde,6,48.21,14.49
30509,Ernsthofen,2127,17.8118,Gemeinde,6,48.13,14.48
30510,Ertl,1301,21.1342,Gemeinde,6,47.98,14.63
30511,Euratsfeld,2407,30.6744,Gemeinde,6,48.08,14.93
30512,Ferschnitz,1623,15.5393,Gemeinde,6,48.09,14.99
30514,Haag,5299,54.919,Gemeinde,6,48.11,14.56
